ID,CF_Number,Original_Proba,Target_Proba,Original_FN1_1,CF_FN1_1,Change_FN1_1,Original_FN1_2,CF_FN1_2,Change_FN1_2,Original_FN1_3,CF_FN1_3,Change_FN1_3,Original_FN1_4,CF_FN1_4,Change_FN1_4,Original_FN1_5,CF_FN1_5,Change_FN1_5,Original_FN1_6,CF_FN1_6,Change_FN1_6,Original_FN1_7,CF_FN1_7,Change_FN1_7,Original_FN1_8,CF_FN1_8,Change_FN1_8,Original_FN1_9,CF_FN1_9,Change_FN1_9,Original_FN1_10,CF_FN1_10,Change_FN1_10,Original_FN1_11,CF_FN1_11,Change_FN1_11,Original_FN1_11_1,CF_FN1_11_1,Change_FN1_11_1,Original_FN1_11_2,CF_FN1_11_2,Change_FN1_11_2,Original_FN1_11_3,CF_FN1_11_3,Change_FN1_11_3,Original_FN1_11_4,CF_FN1_11_4,Change_FN1_11_4,Original_FN1_13,CF_FN1_13,Change_FN1_13,Original_FN1_13_1,CF_FN1_13_1,Change_FN1_13_1,Original_FN1_14,CF_FN1_14,Change_FN1_14,Original_FN1_15,CF_FN1_15,Change_FN1_15,Original_FN1_16,CF_FN1_16,Change_FN1_16,Original_FN1_17,CF_FN1_17,Change_FN1_17,Original_FN1_18,CF_FN1_18,Change_FN1_18,Original_FN1_19,CF_FN1_19,Change_FN1_19,Original_FN1_20,CF_FN1_20,Change_FN1_20,Original_FN1_21,CF_FN1_21,Change_FN1_21,Original_FN1_21_1,CF_FN1_21_1,Change_FN1_21_1,Original_FN1_22,CF_FN1_22,Change_FN1_22,Original_FN1_22_1,CF_FN1_22_1,Change_FN1_22_1,Original_FN1_22_2,CF_FN1_22_2,Change_FN1_22_2,Original_FN1_23,CF_FN1_23,Change_FN1_23,Original_FN1_24,CF_FN1_24,Change_FN1_24,Original_FN1_24_1,CF_FN1_24_1,Change_FN1_24_1,Original_FN2_1,CF_FN2_1,Change_FN2_1,Original_FN2_1_1,CF_FN2_1_1,Change_FN2_1_1,Original_FN2_2,CF_FN2_2,Change_FN2_2,Original_FN2_2_1,CF_FN2_2_1,Change_FN2_2_1,Original_FN2_3,CF_FN2_3,Change_FN2_3,Original_FN2_3_1,CF_FN2_3_1,Change_FN2_3_1,Original_FN2_3_2,CF_FN2_3_2,Change_FN2_3_2,Original_FN2_3_3,CF_FN2_3_3,Change_FN2_3_3,Original_FN2_3_4,CF_FN2_3_4,Change_FN2_3_4,Original_FN2_3_5,CF_FN2_3_5,Change_FN2_3_5,Original_FN2_4,CF_FN2_4,Change_FN2_4,Original_FN2_5,CF_FN2_5,Change_FN2_5,Original_FN2_5_1,CF_FN2_5_1,Change_FN2_5_1,Original_FN2_7,CF_FN2_7,Change_FN2_7,Original_FN2_8,CF_FN2_8,Change_FN2_8,Original_FN2_9,CF_FN2_9,Change_FN2_9,Original_FN2_10,CF_FN2_10,Change_FN2_10,Original_FN2_10_1,CF_FN2_10_1,Change_FN2_10_1,Original_FN3_1,CF_FN3_1,Change_FN3_1,Original_FN3_2,CF_FN3_2,Change_FN3_2,Original_FN3_2_1,CF_FN3_2_1,Change_FN3_2_1,Original_FN3_2_2,CF_FN3_2_2,Change_FN3_2_2,Original_FN3_3,CF_FN3_3,Change_FN3_3,Original_FN3_4_1,CF_FN3_4_1,Change_FN3_4_1,Original_FN3_4_2,CF_FN3_4_2,Change_FN3_4_2,Original_FN3_6,CF_FN3_6,Change_FN3_6,Original_FN3_7,CF_FN3_7,Change_FN3_7,Original_FN3_8,CF_FN3_8,Change_FN3_8,Original_FN3_10,CF_FN3_10,Change_FN3_10,Original_FN3_10_1,CF_FN3_10_1,Change_FN3_10_1,Original_FN3_11,CF_FN3_11,Change_FN3_11,Original_FN3_11_1,CF_FN3_11_1,Change_FN3_11_1
51029,1,0.99529195,0.27619708,2210427.0,180288.0,-2030139.0,3862770.0,138646.0,-3724124.0,1726624.0,75480.0,-1651144.0,483803.0,104808.0,-378995.0,947247.0,22588.0,-924659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179622.0,1027.0,-178595.0,441012.0,441012.0,0.0,0.0,0.0,0.0,2814116.0,9427.0,-2804689.0,6707.0,0.0,-6707.0,6073197.0,318934.0,-5754263.0,5155827.0,5155827.0,0.0,1008712.0,268122.0,-740590.0,627982.0,249510.0,-378472.0,1690786.0,252257.0,-1438529.0,200561.0,0.0,-200561.0,1048810.0,-575.0,-1049385.0,2057522.0,267547.0,-1789975.0,144000.0,1000.0,-143000.0,1078928.0,0.0,-1078928.0,1222928.0,1000.0,-1221928.0,-111643.0,-20450.0,91193.0,0.0,0.0,0.0,0.0,0.0,0.0,967285.0,-20450.0,-987735.0,1111285.0,-19450.0,-1130735.0,1035017.0,1035017.0,0.0,3318509.0,1655109.0,-1663400.0,4042554.0,4042554.0,0.0,2971302.0,1472195.0,-1499107.0,347207.0,182914.0,-164293.0,423631.0,502828.0,79197.0,-76424.0,-319914.0,-243490.0,-74659.0,-74659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38106.0,1336.0,-36770.0,-76424.0,-319914.0,-243490.0,-74659.0,-74659.0,0.0,34902.0,1314.0,-33588.0,36236.0,1137.0,-35099.0,-77758.0,-319737.0,-241979.0,-77758.0,-319729.0,-241971.0,-70316.0,-70316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.6,-4.890000000000001,36492.0,1381.0,-35111.0,0.0,0.0,0.0,671.73,-2045.0,-2716.73,-76285.0,-320820.0,-244535.0,-24468.0,-320215.0,-295747.0,51.99,63.6,11.61,3157674.0,202876.0,-2954798.0,1201715.0,-87834.0,-1289549.0,759692.0,759692.0,0.0
51029,1,0.99529195,0.28895226,2210427.0,252150.0,-1958277.0,3862770.0,183500.0,-3679270.0,1726624.0,187149.0,-1539475.0,483803.0,65001.0,-418802.0,947247.0,32576.0,-914671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179622.0,5113.0,-174509.0,441012.0,441012.0,0.0,0.0,0.0,0.0,2814116.0,98017.0,-2716099.0,6707.0,0.0,-6707.0,6073197.0,435650.0,-5637547.0,5155827.0,5155827.0,0.0,1008712.0,179322.0,-829390.0,627982.0,14367.0,-613615.0,1690786.0,14680.0,-1676106.0,200561.0,18089.0,-182472.0,1048810.0,680.0,-1048130.0,2057522.0,180002.0,-1877520.0,144000.0,20000.0,-124000.0,1078928.0,0.0,-1078928.0,1222928.0,20000.0,-1202928.0,-111643.0,78100.0,189743.0,0.0,0.0,0.0,0.0,0.0,0.0,967285.0,78100.0,-889185.0,1111285.0,98100.0,-1013185.0,1035017.0,1035017.0,0.0,3318509.0,1770215.0,-1548294.0,4042554.0,4042554.0,0.0,2971302.0,303261.0,-2668041.0,347207.0,1466954.0,1119747.0,423631.0,1703435.0,1279804.0,-76424.0,-236481.0,-160057.0,-74659.0,-74659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38106.0,0.0,-38106.0,-76424.0,-236481.0,-160057.0,-74659.0,-74659.0,0.0,34902.0,1323.0,-33579.0,36236.0,10246.0,-25990.0,-77758.0,-245404.0,-167646.0,-77758.0,-267692.0,-189934.0,-70316.0,-70316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,-5.49,36492.0,0.0,-36492.0,0.0,0.0,0.0,671.73,390.5,-281.23,-76285.0,-267661.0,-191376.0,-24468.0,-258692.0,-234224.0,51.99,65.4,13.410000000000004,3157674.0,284726.0,-2872948.0,1201715.0,72828.0,-1128887.0,759692.0,759692.0,0.0
51029,1,0.99529195,0.46340635,2210427.0,129056.0,-2081371.0,3862770.0,51665.0,-3811105.0,1726624.0,114036.0,-1612588.0,483803.0,15020.0,-468783.0,947247.0,9069.0,-938178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179622.0,20000.0,-159622.0,441012.0,441012.0,0.0,0.0,0.0,0.0,2814116.0,34833.0,-2779283.0,6707.0,0.0,-6707.0,6073197.0,180721.0,-5892476.0,5155827.0,5155827.0,0.0,1008712.0,242916.0,-765796.0,627982.0,153293.0,-474689.0,1690786.0,153293.0,-1537493.0,200561.0,52.0,-200509.0,1048810.0,-50.0,-1048860.0,2057522.0,242866.0,-1814656.0,144000.0,9000.0,-135000.0,1078928.0,0.0,-1078928.0,1222928.0,9000.0,-1213928.0,-111643.0,67959.0,179602.0,0.0,0.0,0.0,0.0,0.0,0.0,967285.0,67959.0,-899326.0,1111285.0,76959.0,-1034326.0,1035017.0,1035017.0,0.0,3318509.0,2019727.0,-1298782.0,4042554.0,4042554.0,0.0,2971302.0,1055309.0,-1915993.0,347207.0,964418.0,617211.0,423631.0,853320.0,429689.0,-76424.0,111098.0,187522.0,-74659.0,-74659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38106.0,216.0,-37890.0,-76424.0,111098.0,187522.0,-74659.0,-74659.0,0.0,34902.0,463.0,-34439.0,36236.0,417.0,-35819.0,-77758.0,111144.0,188902.0,-77758.0,87408.0,165166.0,-70316.0,-70316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.1,-5.390000000000001,36492.0,216.0,-36276.0,0.0,0.0,0.0,671.73,755.1,83.37,-76285.0,87498.0,163783.0,-24468.0,90956.0,115424.0,51.99,76.4,24.410000000000004,3157674.0,138125.0,-3019549.0,1201715.0,-113860.0,-1315575.0,759692.0,759692.0,0.0
51029,1,0.99529195,0.4890858,2210427.0,30575.0,-2179852.0,3862770.0,129074.0,-3733696.0,1726624.0,16428.0,-1710196.0,483803.0,14147.0,-469656.0,947247.0,94074.0,-853173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179622.0,0.0,-179622.0,441012.0,441012.0,0.0,0.0,0.0,0.0,2814116.0,0.0,-2814116.0,6707.0,0.0,-6707.0,6073197.0,159649.0,-5913548.0,5155827.0,5155827.0,0.0,1008712.0,210784.0,-797928.0,627982.0,160000.0,-467982.0,1690786.0,193651.0,-1497135.0,200561.0,0.0,-200561.0,1048810.0,33651.0,-1015159.0,2057522.0,244435.0,-1813087.0,144000.0,48000.0,-96000.0,1078928.0,0.0,-1078928.0,1222928.0,48000.0,-1174928.0,-111643.0,230400.0,342043.0,0.0,0.0,0.0,0.0,0.0,0.0,967285.0,230400.0,-736885.0,1111285.0,278400.0,-832885.0,1035017.0,1035017.0,0.0,3318509.0,4695071.0,1376562.0,4042554.0,4042554.0,0.0,2971302.0,4365553.0,1394251.0,347207.0,329518.0,-17689.0,423631.0,412960.0,-10671.0,-76424.0,-83442.0,-7018.0,-74659.0,-74659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38106.0,0.0,-38106.0,-76424.0,-83442.0,-7018.0,-74659.0,-74659.0,0.0,34902.0,1521.0,-33381.0,36236.0,0.0,-36236.0,-77758.0,-81921.0,-4163.0,-77758.0,-81923.0,-4165.0,-70316.0,-70316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,-5.49,36492.0,0.0,-36492.0,0.0,0.0,0.0,671.73,480.0,-191.73000000000002,-76285.0,-81909.0,-5624.0,-24468.0,-66140.0,-41672.0,51.99,78.1,26.109999999999992,3157674.0,124649.0,-3033025.0,1201715.0,-180209.0,-1381924.0,759692.0,759692.0,0.0
62995,1,0.99940205,0.21970345,5309574.0,56940.0,-5252634.0,539370.0,30790.0,-508580.0,3639058.0,51505.0,-3587553.0,1670516.0,5435.0,-1665081.0,485193.0,5063.0,-480130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752534.0,2246.0,-1750288.0,5372275.0,5372275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5848944.0,87730.0,-5761214.0,5387559.0,5387559.0,0.0,3309146.0,46448.0,-3262698.0,1998103.0,21019.0,-1977084.0,2234939.0,21000.0,-2213939.0,1287132.0,0.0,-1287132.0,367561.0,345.0,-367216.0,3676707.0,46793.0,-3629914.0,104000.0,10000.0,-94000.0,0.0,0.0,0.0,104000.0,10000.0,-94000.0,1089925.0,-2769.0,-1092694.0,0.0,0.0,0.0,0.0,0.0,0.0,1089925.0,-2769.0,-1092694.0,1193925.0,7231.0,-1186694.0,1182683.0,1182683.0,0.0,16377818.0,233113.0,-16144705.0,18695788.0,18695788.0,0.0,16470388.0,114460.0,-16355928.0,-92570.0,118653.0,211223.0,507144.0,123662.0,-383482.0,-599714.0,-5009.0,594705.0,882980.0,882980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94107.0,0.0,-94107.0,-599714.0,-5009.0,594705.0,882980.0,882980.0,0.0,76549.0,9642.0,-66907.0,155553.0,182.0,-155371.0,-678718.0,4451.0,683169.0,-678803.0,2273.0,681076.0,384991.0,384991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0,-4.71,98793.0,0.0,-98793.0,0.0,0.0,0.0,1048.0,-27.7,-1075.7,-715281.0,2291.0,717572.0,-606459.0,-7024.0,599435.0,99.07,70.7,-28.36999999999999,5794767.0,62003.0,-5732764.0,2000428.0,10492.0,-1989936.0,335250.0,335250.0,0.0
62995,1,0.99940205,0.49931654,5309574.0,243284.0,-5066290.0,539370.0,38167.0,-501203.0,3639058.0,85887.0,-3553171.0,1670516.0,157397.0,-1513119.0,485193.0,38167.0,-447026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752534.0,24175.0,-1728359.0,5372275.0,5372275.0,0.0,0.0,658.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,5848944.0,281451.0,-5567493.0,5387559.0,5387559.0,0.0,3309146.0,46790.0,-3262356.0,1998103.0,0.0,-1998103.0,2234939.0,0.0,-2234939.0,1287132.0,29144.0,-1257988.0,367561.0,0.0,-367561.0,3676707.0,46790.0,-3629917.0,104000.0,50000.0,-54000.0,0.0,0.0,0.0,104000.0,50000.0,-54000.0,1089925.0,77102.0,-1012823.0,0.0,0.0,0.0,0.0,0.0,0.0,1089925.0,77102.0,-1012823.0,1193925.0,127102.0,-1066823.0,1182683.0,1182683.0,0.0,16377818.0,2440171.0,-13937647.0,18695788.0,18695788.0,0.0,16470388.0,1868845.0,-14601543.0,-92570.0,571326.0,663896.0,507144.0,657442.0,150298.0,-599714.0,-86116.0,513598.0,882980.0,882980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94107.0,88.0,-94019.0,-599714.0,-86116.0,513598.0,882980.0,882980.0,0.0,76549.0,6221.0,-70328.0,155553.0,293.0,-155260.0,-678718.0,-80188.0,598530.0,-678803.0,-80310.0,598493.0,384991.0,384991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,100.0,95.29,98793.0,0.0,-98793.0,0.0,0.0,0.0,1048.0,154.2,-893.8,-715281.0,-79076.0,636205.0,-606459.0,-80951.0,525508.0,99.07,100.0,0.9300000000000068,5794767.0,281451.0,-5513316.0,2000428.0,196494.0,-1803934.0,335250.0,335250.0,0.0
62995,1,0.99940205,0.38275486,5309574.0,158928.0,-5150646.0,539370.0,28678.0,-510692.0,3639058.0,814.0,-3638244.0,1670516.0,158114.0,-1512402.0,485193.0,11639.0,-473554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752534.0,0.0,-1752534.0,5372275.0,5372275.0,0.0,0.0,0.0,0.0,0.0,7205.0,7205.0,0.0,0.0,0.0,5848944.0,187606.0,-5661338.0,5387559.0,5387559.0,0.0,3309146.0,187547.0,-3121599.0,1998103.0,97860.0,-1900243.0,2234939.0,82809.0,-2152130.0,1287132.0,62770.0,-1224362.0,367561.0,-9191.0,-376752.0,3676707.0,178356.0,-3498351.0,104000.0,9000.0,-95000.0,0.0,0.0,0.0,104000.0,9000.0,-95000.0,1089925.0,-13748.0,-1103673.0,0.0,0.0,0.0,0.0,0.0,0.0,1089925.0,-13748.0,-1103673.0,1193925.0,-4748.0,-1198673.0,1182683.0,1182683.0,0.0,16377818.0,0.0,-16377818.0,18695788.0,18695788.0,0.0,16470388.0,0.0,-16470388.0,-92570.0,0.0,92570.0,507144.0,96457.0,-410687.0,-599714.0,-96457.0,503257.0,882980.0,882980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94107.0,4598.0,-89509.0,-599714.0,-96457.0,503257.0,882980.0,882980.0,0.0,76549.0,2641.0,-73908.0,155553.0,4609.0,-150944.0,-678718.0,-98425.0,580293.0,-678803.0,-99143.0,579660.0,384991.0,384991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,4.4,-0.3099999999999996,98793.0,4475.0,-94318.0,0.0,0.0,0.0,1048.0,-152.8,-1200.8,-715281.0,-101162.0,614119.0,-606459.0,-96096.0,510363.0,99.07,90.9,-8.169999999999987,5794767.0,170567.0,-5624200.0,2000428.0,-28619.0,-2029047.0,335250.0,335250.0,0.0
62995,1,0.99940205,0.4796322,5309574.0,11964.0,-5297610.0,539370.0,30790.0,-508580.0,3639058.0,0.0,-3639058.0,1670516.0,5435.0,-1665081.0,485193.0,0.0,-485193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752534.0,2246.0,-1750288.0,5372275.0,5372275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0,-1000.0,5848944.0,87730.0,-5761214.0,5387559.0,5387559.0,0.0,3309146.0,46448.0,-3262698.0,1998103.0,18697.0,-1979406.0,2234939.0,-1075944749.0,-1078179688.0,1287132.0,0.0,-1287132.0,367561.0,22847.0,-344714.0,3676707.0,46793.0,-3629914.0,104000.0,50000.0,-54000.0,0.0,0.0,0.0,104000.0,19000.0,-85000.0,1089925.0,-2769.0,-1092694.0,0.0,0.0,0.0,0.0,0.0,0.0,1089925.0,-2769.0,-1092694.0,1193925.0,7231.0,-1186694.0,1182683.0,1182683.0,0.0,16377818.0,233113.0,-16144705.0,18695788.0,18695788.0,0.0,16470388.0,114460.0,-16355928.0,-92570.0,-121647384.0,-121554814.0,507144.0,0.0,-507144.0,-599714.0,-5009.0,594705.0,882980.0,882980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94107.0,0.0,-94107.0,-599714.0,-122270741.0,-121671027.0,882980.0,882980.0,0.0,76549.0,2.0,-76547.0,155553.0,182.0,-155371.0,-678718.0,-122306672.0,-121627954.0,-678803.0,2273.0,681076.0,384991.0,384991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0,-4.71,98793.0,163.0,-98630.0,0.0,0.0,0.0,1048.0,-95.3,-1143.3,-715281.0,2291.0,717572.0,-606459.0,-142579472.0,-141973013.0,99.07,87.6,-11.469999999999999,5794767.0,22204.0,-5772563.0,2000428.0,-292900529.0,-294900957.0,335250.0,335250.0,0.0
83429,1,0.9968034,0.08340823,755851.0,204674.0,-551177.0,4749578.0,72372.0,-4677206.0,755127.0,209926.0,-545201.0,724.0,70621.0,69897.0,4384304.0,50913.0,-4333391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454503.0,0.0,-454503.0,0.0,0.0,0.0,124133.0,-43114.0,-167247.0,66084.0,66084.0,0.0,86.0,0.0,-86.0,135363.0,0.0,-135363.0,87092.0,-1000.0,-88092.0,5505429.0,277046.0,-5228383.0,2771452.0,2771452.0,0.0,1140519.0,136554.0,-1003965.0,727360.0,0.0,-727360.0,1989522.0,188102.0,-1801420.0,246507.0,0.0,-246507.0,1440428.0,181140.0,-1259288.0,2580947.0,198983.0,-2381964.0,10000.0,10000.0,0.0,1094226.0,0.0,-1094226.0,1104226.0,-1332903.0,-2437129.0,1607287.0,318874.0,-1288413.0,0.0,0.0,0.0,0.0,0.0,0.0,2701513.0,-148116624.0,-150818137.0,2711513.0,338874.0,-2372639.0,901458.0,901458.0,0.0,4696452.0,-1451829.0,-6148281.0,3273145.0,3273145.0,0.0,0.0,4671.0,4671.0,4696452.0,957597.0,-3738855.0,4258426.0,0.0,-4258426.0,438026.0,-122270741.0,-122708767.0,396655.0,396655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55057.0,1190.0,-53867.0,438026.0,-122270741.0,-122708767.0,396655.0,396655.0,0.0,871.0,1997.0,1126.0,57910.0,1096.0,-56814.0,380987.0,-7529.0,-388516.0,353251.0,-142723918.0,-143077169.0,390170.0,390170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,-77777797644288.0,-77777797644295.2,56379.0,1216.0,-55163.0,0.0,0.0,0.0,27015.13,-77777797644288.0,-77777797671303.12,303435.0,-336919673.0,-337223108.0,501271.0,109.0,-501162.0,93.37,100.0,6.6299999999999955,5140155.0,331460.0,-4808695.0,-384668.0,-292900529.0,-292515861.0,1480385.0,1480385.0,0.0
83429,1,0.9968034,0.46743238,755851.0,280547.0,-475304.0,4749578.0,50913.0,-4698665.0,755127.0,209926.0,-545201.0,724.0,70621.0,69897.0,4384304.0,50913.0,-4333391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454503.0,0.0,-454503.0,0.0,0.0,0.0,124133.0,30831.0,-93302.0,66084.0,66084.0,0.0,86.0,0.0,-86.0,135363.0,0.0,-135363.0,87092.0,0.0,-87092.0,5505429.0,331460.0,-5173969.0,2771452.0,2771452.0,0.0,1140519.0,136554.0,-1003965.0,727360.0,0.0,-727360.0,1989522.0,97691.0,-1891831.0,246507.0,6840.0,-239667.0,1440428.0,113112.0,-1327316.0,2580947.0,249666.0,-2331281.0,10000.0,20000.0,10000.0,1094226.0,0.0,-1094226.0,1104226.0,20000.0,-1084226.0,1607287.0,318874.0,-1288413.0,0.0,0.0,0.0,0.0,0.0,0.0,2701513.0,318874.0,-2382639.0,2711513.0,338874.0,-2372639.0,901458.0,901458.0,0.0,4696452.0,784430.0,-3912022.0,3273145.0,3273145.0,0.0,0.0,186012.0,186012.0,4696452.0,598418.0,-4098034.0,4258426.0,606848.0,-3651578.0,438026.0,-8430.0,-446456.0,396655.0,396655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55057.0,1190.0,-53867.0,438026.0,-8430.0,-446456.0,396655.0,396655.0,0.0,871.0,1997.0,1126.0,57910.0,1096.0,-56814.0,380987.0,-7529.0,-388516.0,353251.0,-8545.0,-361796.0,390170.0,390170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,100.0,92.8,56379.0,1216.0,-55163.0,0.0,0.0,0.0,27015.13,1594.4,-25420.73,303435.0,-9674.0,-313109.0,501271.0,109.0,-501162.0,93.37,100.0,6.6299999999999955,5140155.0,331460.0,-4808695.0,-384668.0,143993.0,528661.0,1480385.0,1480385.0,0.0
