FN1_1,FN1_2,FN1_3,FN1_4,FN1_5,FN1_6,FN1_7,FN1_8,FN1_9,FN1_10,FN1_11,FN1_11_1,FN1_11_2,FN1_11_3,FN1_11_4,FN1_13,FN1_13_1,FN1_14,FN1_15,FN1_16,FN1_17,FN1_18,FN1_19,FN1_20,FN1_21,FN1_21_1,FN1_22,FN1_22_1,FN1_22_2,FN1_23,FN1_24,FN1_24_1,FN2_1,FN2_1_1,FN2_2,FN2_2_1,FN2_3,FN2_3_1,FN2_3_2,FN2_3_3,FN2_3_4,FN2_3_5,FN2_4,FN2_5,FN2_5_1,FN2_7,FN2_8,FN2_9,FN2_10,FN2_10_1,FN3_1,FN3_2,FN3_2_1,FN3_2_2,FN3_3,FN3_4_1,FN3_4_2,FN3_6,FN3_7,FN3_8,FN3_10,FN3_10_1,FN3_11,FN3_11_1,PERF_12M
111692.0,281667.0,59652.0,52040,0.0,0,0,0,0,0,34481,0,0,0,203662.0,393359.0,356625.0,269977.0,0,0,24875,87738,357715.0,99000,0,99000,-69951.0,-1964,0,-69951.0,27085.0,13283.0,120700.0,106352.0,78781.0,41919.0,95906,-53987,374702,0,0,0,0,-53987,374702,48283,55150,-60854.0,-93092,336298,0,0.0,0,0,-77777800000000.0,0,0,-72.64,-58382,-64071.0,28.39,111692.0,-158285,-40530,0
274670.0,10097.0,274670.0,0,97.0,0,0,0,0,0,5294,40030,0,0,0.0,284767.0,170765.0,65079.0,0,0,43780,0,65079.0,29000,0,29000,151370.0,0,0,151370.0,180370.0,153278.0,96225.0,124122.0,0.0,96225.0,61818,34407,20240,0,0,0,0,34407,20240,4179,4510,34076.0,33632,81271,0,0.0,0,0,-77777800000000.0,0,0,521.97,35169,42951.0,96.49,274767.0,209591,-31658,0
241339.0,29785.0,241339.0,0,15102.0,0,0,0,0,0,3142,74784,0,0,0.0,271124.0,194095.0,31791.0,0,0,15500,0,31791.0,99000,0,99000,90040.0,0,0,90040.0,189040.0,117614.0,307403.0,533214.0,155788.0,151615.0,97915,53700,63375,0,0,0,0,53700,63375,10153,16,63837.0,59812,-53264,0,0.0,0,0,-77777800000000.0,0,0,90.95,65941,53619.0,94.58,256441.0,209548,-33185,0
207735.0,61652.0,49527.0,158208,0.0,0,0,0,0,0,12795,5883,0,0,28952.0,269387.0,176340.0,148478.0,0,47740,1885,47740,196218.0,10000,0,10000,7266.0,0,0,7266.0,17266.0,16129.0,413505.0,159680.0,390591.0,22914.0,132391,-109477,-113149,0,0,0,0,-109477,-113149,1398,1,-108080.0,-108123,-31316,0,0.0,0,0,-77777800000000.0,0,0,72.66,-108109,-109033.0,77.11,207735.0,59257,31997,0
144919.0,107194.0,59295.0,85624,95807.0,0,0,0,0,0,48847,22930,0,1449,0.0,252113.0,234162.0,82086.0,0,0,16671,0,82086.0,30000,0,30000,5595.0,0,0,5595.0,35595.0,-13118.0,407441.0,489589.0,69463.0,337978.0,310951,27027,45518,0,0,0,0,27027,45518,224,0,27251.0,25307,58488,0,0.0,0,0,-77777800000000.0,0,0,18.65,25318,25063.0,95.48,240726.0,62833,-110807,0
213345.0,25385.0,213345.0,0,24338.0,0,0,0,0,0,900,19531,0,0,0.0,238730.0,132542.0,260848.0,0,0,55237,0,260848.0,200000,0,200000,6990.0,0,0,6990.0,206990.0,212382.0,312853.0,56314.0,186707.0,126146.0,114861,11285,-4935,0,0,0,0,11285,-4935,926,679,11532.0,11304,56833,0,0.0,0,0,-77777800000000.0,0,0,3.5,11305,11180.0,99.56,237683.0,-47503,-164658,0
186785.0,51294.0,186785.0,0,35996.0,0,0,0,0,0,0,397412,0,0,15298.0,238079.0,142053.0,53185.0,0,0,0,0,53185.0,104000,0,104000,136826.0,0,0,136826.0,240826.0,-69368.0,286547.0,339122.0,0.0,286547.0,215370,71177,-32512,0,0,0,0,71177,-32512,5568,1,76744.0,76743,10646,0,0.0,0,0,-77777800000000.0,0,0,131.56,80829,73881.0,93.57,222781.0,133600,-1721,0
179643.0,19812.0,109488.0,70155,19812.0,0,0,0,0,0,113200,46703,0,0,0.0,199455.0,162015.0,6784.0,0,0,3547,0,6784.0,100000,0,100000,125537.0,0,0,125537.0,225537.0,189350.0,106251.0,86097.0,51397.0,54854.0,72572,-17718,-27815,0,0,0,0,-17718,-27815,11768,0,-5950.0,-5955,-107536,0,0.0,0,0,-77777800000000.0,0,0,125.54,955,-18225.0,100.0,199455.0,172859,-76210,0
174145.0,22964.0,85626.0,88519,18069.0,0,0,0,0,0,61070,21142,0,0,0.0,197109.0,205785.0,166355.0,0,0,542,0,166355.0,50000,0,50000,-1736.0,0,0,-1736.0,48264.0,-24527.0,487807.0,102293.0,454626.0,33181.0,86882,-53701,-64145,0,0,0,0,-53701,-64145,53,69,-53717.0,-53715,-63978,0,0.0,0,0,-77777800000000.0,0,0,-3.47,-53682,-53694.0,97.52,192214.0,7790,-29484,0
172615.0,21062.0,163441.0,9174,3754.0,0,0,0,0,0,2238,9794,0,0,0.0,193677.0,89109.0,91756.0,0,0,33266,0,91756.0,96000,0,96000,-74663.0,0,0,-74663.0,21337.0,49314.0,371652.0,331917.0,241312.0,130340.0,313076,-182736,4099,0,0,0,0,-182736,4099,4626,193,-178303.0,-184314,-33357,0,0.0,0,0,-77777800000000.0,0,0,-77.77,-179898,-189493.0,91.06,176369.0,80859,-4181,0
