ID,SIC_CD_3,error
44282,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
78667,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
143763,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
74062,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
10754,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
69507,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
52043,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
101486,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
112566,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
9623,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
9783,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
38132,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
10487,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
112721,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
15479,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
116413,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
66606,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
98423,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
139474,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
30625,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
106979,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
128460,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
769,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
82203,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
12508,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
112283,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
54447,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
109940,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
77596,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
88897,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
52369,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
67744,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
113255,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
10100,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
51619,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
75312,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
43507,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
106228,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
96148,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
5943,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
107829,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
110577,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
48953,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
57682,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
110963,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
51461,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
67497,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
30839,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
4162,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
111769,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
66374,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
98875,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
23253,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
62202,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
84900,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
101451,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
89620,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
32906,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
51020,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
94187,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
49593,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
101194,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
137826,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
37404,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
106402,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
7347,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
71554,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
26614,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
12,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
108637,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
126997,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
58450,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
23441,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
49654,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
71368,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
413,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
53277,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
143465,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
5547,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
124415,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
68588,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
98051,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
129695,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
89100,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
141527,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
89028,G47,No counterfactuals found for any of the query points! Kindly check your configuration.
70240,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
82790,F42,No counterfactuals found for any of the query points! Kindly check your configuration.
1397,L68,No counterfactuals found for any of the query points! Kindly check your configuration.
80546,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
145275,G46,No counterfactuals found for any of the query points! Kindly check your configuration.
